[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ConcGCThreads: 2
[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ParallelGCThreads: 8
[2021-04-30T09:34:57.960+0300][0.016s][info ][gc] Using Concurrent Mark Sweep
[2021-04-30T09:34:58.551+0300][0,608s][info ][gc] GC(0) Pause Young (Allocation Failure) 34M->2M(123M) 3,693ms
[2021-04-30T09:34:58.648+0300][0,704s][info ][gc] GC(1) Pause Young (Allocation Failure) 36M->3M(123M) 3,605ms
[2021-04-30T09:34:58.729+0300][0,786s][info ][gc] GC(2) Pause Young (Allocation Failure) 37M->4M(123M) 13,984ms
[2021-04-30T09:34:58.796+0300][0,853s][info ][gc] GC(3) Pause Young (Allocation Failure) 38M->4M(123M) 1,460ms
[2021-04-30T09:34:58.864+0300][0,921s][info ][gc] GC(4) Pause Young (Allocation Failure) 38M->5M(123M) 1,526ms
[2021-04-30T09:34:58.927+0300][0,984s][info ][gc] GC(5) Pause Young (Allocation Failure) 39M->6M(123M) 2,425ms
[2021-04-30T09:34:58.989+0300][1,046s][info ][gc] GC(6) Pause Young (Allocation Failure) 40M->6M(123M) 1,377ms
[2021-04-30T09:34:59.059+0300][1,115s][info ][gc] GC(7) Pause Young (Allocation Failure) 40M->7M(123M) 1,328ms
[2021-04-30T09:34:59.124+0300][1,181s][info ][gc] GC(8) Pause Young (Allocation Failure) 41M->7M(123M) 1,283ms
[2021-04-30T09:34:59.179+0300][1,236s][info ][gc] GC(9) Pause Young (Allocation Failure) 42M->8M(123M) 1,289ms
[2021-04-30T09:34:59.231+0300][1,288s][info ][gc] GC(10) Pause Young (Allocation Failure) 42M->9M(123M) 1,258ms
[2021-04-30T09:34:59.289+0300][1,346s][info ][gc] GC(11) Pause Young (Allocation Failure) 43M->9M(123M) 1,299ms
[2021-04-30T09:34:59.341+0300][1,397s][info ][gc] GC(12) Pause Young (Allocation Failure) 43M->10M(123M) 1,322ms
[2021-04-30T09:34:59.394+0300][1,450s][info ][gc] GC(13) Pause Young (Allocation Failure) 44M->10M(123M) 1,354ms
[2021-04-30T09:34:59.446+0300][1,502s][info ][gc] GC(14) Pause Young (Allocation Failure) 44M->11M(123M) 1,349ms
[2021-04-30T09:34:59.495+0300][1,551s][info ][gc] GC(15) Pause Young (Allocation Failure) 45M->11M(123M) 1,325ms
[2021-04-30T09:34:59.547+0300][1,604s][info ][gc] GC(16) Pause Young (Allocation Failure) 45M->12M(123M) 1,575ms
[2021-04-30T09:34:59.599+0300][1,655s][info ][gc] GC(17) Pause Young (Allocation Failure) 46M->12M(123M) 1,636ms
[2021-04-30T09:34:59.650+0300][1,707s][info ][gc] GC(18) Pause Young (Allocation Failure) 47M->13M(123M) 1,736ms
[2021-04-30T09:34:59.705+0300][1,761s][info ][gc] GC(19) Pause Young (Allocation Failure) 47M->14M(123M) 1,436ms
[2021-04-30T09:34:59.754+0300][1,811s][info ][gc] GC(20) Pause Young (Allocation Failure) 49M->14M(123M) 1,510ms
[2021-04-30T09:34:59.809+0300][1,865s][info ][gc] GC(21) Pause Young (Allocation Failure) 48M->15M(123M) 1,403ms
[2021-04-30T09:34:59.860+0300][1,917s][info ][gc] GC(22) Pause Young (Allocation Failure) 49M->15M(123M) 1,394ms
[2021-04-30T09:34:59.918+0300][1,975s][info ][gc] GC(23) Pause Young (Allocation Failure) 49M->17M(123M) 1,899ms
[2021-04-30T09:34:59.981+0300][2,038s][info ][gc] GC(24) Pause Young (Allocation Failure) 51M->16M(123M) 1,797ms
[2021-04-30T09:35:00.050+0300][2,107s][info ][gc] GC(25) Pause Young (Allocation Failure) 51M->17M(123M) 1,623ms
[2021-04-30T09:35:00.103+0300][2,160s][info ][gc] GC(26) Pause Young (Allocation Failure) 51M->17M(123M) 1,616ms
[2021-04-30T09:35:00.152+0300][2,209s][info ][gc] GC(27) Pause Young (Allocation Failure) 52M->18M(123M) 1,167ms
[2021-04-30T09:35:00.206+0300][2,262s][info ][gc] GC(28) Pause Young (Allocation Failure) 52M->19M(123M) 1,355ms
[2021-04-30T09:35:00.263+0300][2,319s][info ][gc] GC(29) Pause Young (Allocation Failure) 53M->19M(123M) 1,348ms
[2021-04-30T09:35:00.320+0300][2,377s][info ][gc] GC(30) Pause Young (Allocation Failure) 53M->20M(123M) 1,620ms
[2021-04-30T09:35:00.387+0300][2,443s][info ][gc] GC(31) Pause Young (Allocation Failure) 54M->20M(123M) 2,794ms
[2021-04-30T09:35:00.448+0300][2,505s][info ][gc] GC(32) Pause Young (Allocation Failure) 55M->21M(123M) 1,846ms
[2021-04-30T09:35:00.521+0300][2,578s][info ][gc] GC(33) Pause Young (Allocation Failure) 55M->22M(123M) 4,333ms
[2021-04-30T09:35:00.582+0300][2,638s][info ][gc] GC(34) Pause Young (Allocation Failure) 56M->23M(123M) 1,605ms
