[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:49.673+0300][0,523s][info][gc] Trigger: Learning 1 of 5. Free (91648K) is below initial threshold (91750K)
[2021-04-30T09:22:49.674+0300][0,523s][info][gc] GC(0) Concurrent reset 0,187ms
[2021-04-30T09:22:49.674+0300][0,523s][info][gc] GC(0) Pause Init Mark (process weakrefs) 0,351ms
[2021-04-30T09:22:49.678+0300][0,527s][info][gc] GC(0) Concurrent marking (process weakrefs) 3,374ms
[2021-04-30T09:22:49.682+0300][0,532s][info][gc] GC(0) Concurrent precleaning 4,531ms
[2021-04-30T09:22:49.683+0300][0,533s][info][gc] GC(0) Pause Final Mark (process weakrefs) 1,041ms
[2021-04-30T09:22:49.683+0300][0,533s][info][gc] GC(0) Concurrent cleanup 34M->34M(128M) 0,045ms
[2021-04-30T09:22:49.685+0300][0,535s][info][gc] GC(0) Concurrent evacuation 1,781ms
[2021-04-30T09:22:49.685+0300][0,535s][info][gc] GC(0) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:49.688+0300][0,537s][info][gc] GC(0) Concurrent update references 2,119ms
[2021-04-30T09:22:49.688+0300][0,537s][info][gc] GC(0) Pause Final Update Refs 0,140ms
[2021-04-30T09:22:49.688+0300][0,537s][info][gc] GC(0) Concurrent cleanup 36M->4M(128M) 0,047ms
[2021-04-30T09:22:49.771+0300][0,620s][info][gc] Trigger: Learning 2 of 5. Free (91392K) is below initial threshold (91750K)
[2021-04-30T09:22:49.771+0300][0,621s][info][gc] GC(1) Concurrent reset 0,105ms
[2021-04-30T09:22:49.771+0300][0,621s][info][gc] GC(1) Pause Init Mark 0,168ms
[2021-04-30T09:22:49.775+0300][0,624s][info][gc] GC(1) Concurrent marking 3,103ms
[2021-04-30T09:22:49.775+0300][0,624s][info][gc] GC(1) Pause Final Mark 0,252ms
[2021-04-30T09:22:49.775+0300][0,624s][info][gc] GC(1) Concurrent cleanup 33M->33M(128M) 0,046ms
[2021-04-30T09:22:49.776+0300][0,625s][info][gc] GC(1) Concurrent evacuation 0,668ms
[2021-04-30T09:22:49.776+0300][0,625s][info][gc] GC(1) Pause Init Update Refs 0,007ms
[2021-04-30T09:22:49.780+0300][0,629s][info][gc] GC(1) Concurrent update references 3,970ms
[2021-04-30T09:22:49.780+0300][0,630s][info][gc] GC(1) Pause Final Update Refs 0,057ms
[2021-04-30T09:22:49.780+0300][0,630s][info][gc] GC(1) Concurrent cleanup 36M->5M(128M) 0,050ms
[2021-04-30T09:22:49.837+0300][0,686s][info][gc] Trigger: Learning 3 of 5. Free (91667K) is below initial threshold (91750K)
[2021-04-30T09:22:49.837+0300][0,686s][info][gc] GC(2) Concurrent reset 0,083ms
[2021-04-30T09:22:49.837+0300][0,687s][info][gc] GC(2) Pause Init Mark 0,221ms
[2021-04-30T09:22:49.842+0300][0,691s][info][gc] GC(2) Concurrent marking 4,230ms
[2021-04-30T09:22:49.842+0300][0,691s][info][gc] GC(2) Pause Final Mark 0,273ms
[2021-04-30T09:22:49.842+0300][0,692s][info][gc] GC(2) Concurrent cleanup 33M->33M(128M) 0,112ms
[2021-04-30T09:22:49.844+0300][0,694s][info][gc] GC(2) Concurrent evacuation 1,396ms
[2021-04-30T09:22:49.844+0300][0,694s][info][gc] GC(2) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:49.849+0300][0,698s][info][gc] GC(2) Concurrent update references 4,519ms
